EW2019;
Amtliches Endergebnis;
Nr;Gebiet;gehört zu;Wahlberechtigte;;Wähler/-innen;;Ungültige;;Gültige;;Christlich Demokratische Union Deutschlands;;Sozialdemokratische Partei Deutschlands;;BÜNDNIS 90/DIE GRÜNEN;;DIE LINKE;;Alternative für Deutschland;;Christlich-Soziale Union in Bayern e.V.;;Freie Demokratische Partei;;FREIE WÄHLER;;Piratenpartei Deutschland;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Nationaldemokratische Partei Deutschlands;;Familien-Partei Deutschlands;;Ökologisch-Demokratische Partei;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen;;Bayernpartei;;Deutsche Kommunistische Partei;;Marxistisch-Leninistische Partei Deutschlands;;Sozialistische Gleichheitspartei, Vierte Internationale;;Aktion Partei für Tierschutz – DAS ORIGINAL;;Allianz für Menschenrechte, Tier- und Naturschutz;;Bündnis C - Christen für Deutschland;;Bündnis für Innovation & Gerechtigkeit;;Bündnis Grundeinkommen - Die Grundeinkommenspartei;;Demokratie DIREKT!;;Demokratie in Europa - DiEM25;;DER DRITTE WEG;;Die Grauen – Für alle Generationen;;DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz;;Die Violetten;;Europäische Partei LIEBE;;Feministische Partei DIE FRAUEN;;Graue Panther;;LKR - Bernd Lucke und die Liberal-Konservativen Reformer;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Neue Liberale – Die Sozialliberalen;;Ökologische Linke;;Partei der Humanisten;;PARTEI FÜR DIE TIERE DEUTSCHLAND;;Partei für Gesundheitsforschung;;Volt Deutschland;;Übrige;;
;;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;Stimmen;;
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
01001;Flensburg, Stadt;01;70431;70929;39647;25350;237;176;39410;25174;6829;6446;5676;8161;14603;4380;2349;1911;2477;1583;;;1988;764;257;103;405;497;925;382;44;113;345;181;184;85;1663;301;45;61;24;6;14;21;13;13;15;6;118;;80;;48;;34;;72;;33;;222;;7;;74;;19;;40;;38;;55;;80;;28;;40;;24;;52;;97;;61;;47;;285;;;160;
01002;Kiel, Landeshauptstadt;01;186195;188135;109595;75741;577;405;109018;75336;18311;17477;17911;25918;40324;14305;6497;4863;6459;4418;;;5270;2651;525;210;1358;1835;1488;1121;119;328;599;333;516;210;4962;1054;85;152;38;20;68;87;42;49;12;22;197;;155;;85;;129;;150;;64;;675;;9;;180;;37;;84;;71;;103;;243;;110;;99;;62;;198;;371;;144;;129;;1139;;;283;
01003;Lübeck, Hansestadt;01;166530;167198;90946;62933;461;424;90485;62509;18416;17141;17566;21356;28633;9556;4231;3747;6773;4334;;;4174;1953;1018;551;883;1264;1189;735;162;359;611;345;456;164;2680;500;77;124;48;19;49;39;40;48;6;18;214;;125;;97;;213;;89;;56;;332;;13;;121;;40;;78;;97;;126;;181;;73;;68;;54;;97;;234;;126;;104;;935;;;256;
01004;Neumünster, Stadt;01;60215;60970;29036;27659;231;409;28805;27250;7039;8948;5286;9680;7809;2432;1041;1278;2761;1960;;;1539;829;240;120;352;483;407;388;140;341;287;338;123;35;678;114;44;77;25;6;11;16;9;14;3;6;71;;42;;43;;101;;28;;25;;62;;6;;69;;12;;21;;28;;42;;80;;70;;17;;14;;20;;56;;56;;34;;114;;;185;
01051;Dithmarschen;01;107045;107804;58244;42819;475;469;57769;42350;17955;17958;10294;12381;12121;3432;2002;1775;5121;2325;;;4498;1734;609;292;539;571;886;574;98;263;613;403;157;84;1089;224;81;97;28;15;22;22;13;22;12;10;126;;94;;25;;6;;64;;32;;100;;13;;126;;38;;47;;65;;70;;170;;45;;54;;23;;41;;78;;118;;111;;185;;;168;
01053;Herzogtum Lauenburg;01;152666;150105;91899;69625;609;588;91290;69037;24912;23887;15940;21663;23552;8232;3168;2996;8355;5182;;;5774;2747;990;328;658;951;1439;932;171;520;919;605;508;160;1877;329;91;122;69;27;33;29;24;21;13;14;216;;149;;124;;40;;79;;54;;196;;18;;192;;51;;68;;97;;109;;212;;115;;68;;49;;60;;127;;164;;107;;502;;;292;
01054;Nordfriesland;01;131877;130887;77635;53913;446;419;77189;53494;23444;21081;12566;16215;22580;5968;2449;2036;4373;3038;;;4432;2044;563;241;815;760;1115;702;119;226;771;455;244;104;1340;225;88;105;38;25;18;22;22;25;12;15;198;;132;;50;;17;;76;;40;;148;;11;;132;;34;;63;;92;;96;;184;;48;;73;;25;;78;;104;;148;;114;;337;;;207;
01055;Ostholstein;01;165528;165120;96712;70141;723;618;95989;69523;28117;25452;18289;22636;24383;6949;2823;2407;7752;5439;;;5910;2815;1018;422;752;752;1282;854;171;321;947;589;336;117;1455;256;85;146;61;34;45;23;16;18;17;11;253;;131;;101;;32;;72;;56;;181;;22;;161;;30;;74;;85;;99;;190;;93;;58;;31;;70;;104;;208;;124;;355;;;282;
