"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"385.","Wesermarsch","Niedersachsen","LK","11,10","11,27","11,17","11,27","11,25","11,14"
"386.","Westerwaldkreis","Rheinland-Pfalz","LK","10,77","10,94","10,66","11,01","10,98","10,91"
"387.","Wetteraukreis","Hessen","LK","9,75","9,92","9,87","9,88","9,77","10,07"
"388.","Wiesbaden, Landeshauptstadt","Hessen","KS","16,18","16,27","16,01","16,77","16,66","17,02"
"389.","Wilhelmshaven, Stadt","Niedersachsen","KS","16,22","16,74","16,80","16,90","17,03","17,07"
"390.","Wittenberg","Sachsen-Anhalt","LK","9,96","10,29","10,23","10,42","10,48","10,56"
"391.","Wittmund","Niedersachsen","LK","10,51","10,60","10,49","10,75","10,55","10,57"
"392.","Wolfenbüttel","Niedersachsen","LK","9,13","9,22","9,19","9,25","9,10","9,09"
"393.","Wolfsburg, Stadt","Niedersachsen","KS","8,17","7,99","8,03","7,79","7,69","7,74"
"394.","Worms, kreisfreie Stadt","Rheinland-Pfalz","KS","15,52","15,99","16,10","15,98","15,53","15,24"
"395.","Wunsiedel i.Fichtelgebirge","Bayern","LK","8,58","8,76","8,81","9,11","9,15","9,30"
"396.","Wuppertal, Stadt","Nordrhein-Westfalen","KS","17,89","17,77","17,97","18,08","18,38","18,42"
"397.","Würzburg","Bayern","LK","5,15","5,19","5,31","5,38","5,40","5,44"
"398.","Würzburg, Stadt","Bayern","KS","7,01","7,00","7,08","7,55","7,74","7,86"
"399.","Zollernalbkreis","Baden-Württemberg","LK","7,55","7,75","7,97","8,23","8,36","8,62"
"400.","Zweibrücken, kreisfreie Stadt","Rheinland-Pfalz","KS","12,01","12,03","12,09","12,65","12,64","12,55"
"401.","Zwickau","Sachsen","LK","8,62","9,18","9,58","9,79","9,90","9,79"
"Deutschland","","","","9,81","9,90","9,92","10,06","10,04","10,04"
