"g 
 
 
Nr.","Kreise und kreisfreie Städte","Bundesland","","Schuldnerquoten in %","","","","",""
"","","","","Typ  2013","2014","2015","2016","2017","2018"
"34.","Berlin, Stadt","Berlin","KS","13,12","13,02","12,99","12,74","12,63","12,42"
"35.","Bernkastel-Wittlich","Rheinland-Pfalz","LK","8,00","8,15","7,95","8,41","8,36","8,49"
"36.","Biberach","Baden-Württemberg","LK","6,03","6,17","6,30","6,52","6,61","6,73"
"37.","Bielefeld, Stadt","Nordrhein-Westfalen","KS","11,50","11,42","10,94","11,45","11,35","11,35"
"38.","Birkenfeld","Rheinland-Pfalz","LK","10,26","10,52","10,44","10,75","10,79","10,84"
"39.","Böblingen","Baden-Württemberg","LK","6,72","6,85","6,96","7,10","6,96","6,85"
"40.","Bochum, Stadt","Nordrhein-Westfalen","KS","11,97","12,23","12,33","12,56","12,46","12,60"
"41.","Bodenseekreis","Baden-Württemberg","LK","7,19","7,19","7,08","7,31","7,37","7,40"
"42.","Bonn, Stadt","Nordrhein-Westfalen","KS","9,38","9,24","9,22","9,11","9,00","8,87"
"43.","Börde","Sachsen-Anhalt","LK","10,62","10,76","10,60","10,71","10,71","10,76"
"44.","Borken","Nordrhein-Westfalen","K","8,79","8,83","8,69","8,66","8,59","8,63"
"45.","Bottrop, Stadt","Nordrhein-Westfalen","KS","11,09","11,48","11,79","11,72","11,77","11,73"
"46.","Brandenburg an der Havel, Stadt","Brandenburg","KS","15,36","15,69","15,97","16,05","15,91","15,72"
"47.","Braunschweig, Stadt","Niedersachsen","KS","10,62","10,47","10,22","9,87","9,61","9,67"
"48.","Breisgau-Hochschwarzwald","Baden-Württemberg","LK","7,02","7,04","7,08","7,29","7,31","7,25"
"49.","Bremen, Stadt","Bremen","KS","12,67","12,69","12,76","12,67","12,60","12,51"
"50.","Bremerhaven, Stadt","Bremen","KS","19,84","20,41","20,82","20,80","20,79","21,22"
"51.","Burgenlandkreis","Sachsen-Anhalt","LK","10,74","11,04","11,27","11,43","11,54","11,56"
"52.","Calw","Baden-Württemberg","LK","8,02","8,38","8,58","8,78","8,66","8,77"
"53.","Celle","Niedersachsen","LK","11,90","12,05","12,06","12,16","11,96","11,89"
"54.","Cham","Bayern","LK","5,88","5,97","5,89","6,04","6,07","6,08"
"55.","Chemnitz, Stadt","Sachsen","KS","10,22","10,66","11,15","11,39","11,57","11,78"
"56.","Cloppenburg","Niedersachsen","LK","9,11","9,16","9,13","9,34","9,33","9,57"
"57.","Coburg","Bayern","LK","7,94","7,88","7,75","7,73","7,69","7,70"
"58.","Coburg, Stadt","Bayern","KS","9,70","9,48","9,31","9,30","9,31","9,34"
"59.","Cochem-Zell","Rheinland-Pfalz","LK","7,69","7,66","7,53","8,05","8,21","8,43"
"60.","Coesfeld","Nordrhein-Westfalen","K","7,40","7,40","7,39","7,37","7,20","7,19"
"61.","Cottbus, Stadt","Brandenburg","KS","11,08","11,21","11,20","11,41","11,65","11,39"
"62.","Cuxhaven","Niedersachsen","LK","10,88","10,92","10,89","10,43","10,77","10,73"
"63.","Dachau","Bayern","LK","6,14","6,10","6,18","6,17","6,22","6,17"
"64.","Dahme-Spreewald","Brandenburg","LK","9,52","9,59","9,60","9,67","9,44","9,19"
"65.","Darmstadt, Wissenschaftsstadt","Hessen","KS","9,23","8,93","8,97","8,98","8,88","8,70"
"66.","Darmstadt-Dieburg","Hessen","LK","8,31","8,39","8,45","8,64","8,58","8,55"
"67.","Deggendorf","Bayern","LK","6,92","6,89","6,99","7,28","7,58","7,45"
"68.","Delmenhorst, Stadt","Niedersachsen","KS","15,53","15,59","15,46","15,32","15,34","15,57"
"69.","Dessau-Roßlau, Stadt","Sachsen-Anhalt","KS","12,29","12,44","12,64","12,76","12,82","12,87"
"70.","Diepholz","Niedersachsen","LK","9,23","9,28","9,28","9,48","9,41","9,39"
"71.","Dillingen a.d.Donau","Bayern","LK","6,48","6,55","6,64","6,68","6,70","6,68"
"72.","Dingolfing-Landau","Bayern","LK","6,03","6,04","6,10","6,16","6,37","6,45"
